frameNo: 10 | Accumulated: 0MouseOnly?7760682721082
frameNo: 10 | Accumulated: 0MouseOnly?7760682748206
frameNo: 10 | Accumulated: 0MouseOnly?7760682775555
frameNo: 10 | Accumulated: 1 | PTS: 7760682799368 | PTSInterval: 32585000
frameNo: 11 | Accumulated: 0MouseOnly?7760682802964
frameNo: 11 | Accumulated: 0MouseOnly?7760682830189
frameNo: 11 | Accumulated: 0MouseOnly?7760682857446
frameNo: 11 | Accumulated: 1 | PTS: 7760682858197 | PTSInterval: 17252000
frameNo: 12 | Accumulated: 0MouseOnly?7760682884720
frameNo: 12 | Accumulated: 0MouseOnly?7760682911843
frameNo: 12 | Accumulated: 0MouseOnly?7760682939215
frameNo: 12 | Accumulated: 0MouseOnly?7760682966501
frameNo: 12 | Accumulated: 0MouseOnly?7760682993877
frameNo: 12 | Accumulated: 0MouseOnly?7760683021376
frameNo: 12 | Accumulated: 1 | PTS: 7760683026855 | PTSInterval: 49458000
frameNo: 13 | Accumulated: 0MouseOnly?7760683048692
frameNo: 13 | Accumulated: 0MouseOnly?7760683075949
frameNo: 13 | Accumulated: 0MouseOnly?7760683103299
frameNo: 13 | Accumulated: 0MouseOnly?7760683130757
frameNo: 13 | Accumulated: 0MouseOnly?7760683157723
frameNo: 13 | Accumulated: 0MouseOnly?7760683169691
frameNo: 13 | Accumulated: 0MouseOnly?7760683184998
frameNo: 13 | Accumulated: 0MouseOnly?7760683212295
frameNo: 13 | Accumulated: 0MouseOnly?7760683239559
frameNo: 13 | Accumulated: 1 | PTS: 7760683261166 | PTSInterval: 68712000
frameNo: 14 | Accumulated: 0MouseOnly?7760683266789
frameNo: 14 | Accumulated: 0MouseOnly?7760683294426
frameNo: 14 | Accumulated: 0MouseOnly?7760683321344
frameNo: 14 | Accumulated: 0MouseOnly?7760683349019
frameNo: 14 | Accumulated: 0MouseOnly?7760683375891
frameNo: 14 | Accumulated: 0MouseOnly?7760683403545
frameNo: 14 | Accumulated: 0MouseOnly?7760683430525
frameNo: 14 | Accumulated: 0MouseOnly?7760683458143
frameNo: 14 | Accumulated: 0MouseOnly?7760683485349
frameNo: 14 | Accumulated: 0MouseOnly?7760683496960
frameNo: 14 | Accumulated: 0MouseOnly?7760683512972
frameNo: 14 | Accumulated: 0MouseOnly?7760683539641
frameNo: 14 | Accumulated: 0MouseOnly?7760683566919
frameNo: 14 | Accumulated: 0MouseOnly?7760683594235
frameNo: 14 | Accumulated: 0MouseOnly?7760683621788
frameNo: 14 | Accumulated: 0MouseOnly?7760683648648
frameNo: 14 | Accumulated: 0MouseOnly?7760683676344
frameNo: 14 | Accumulated: 0MouseOnly?7760683685016
frameNo: 14 | Accumulated: 0MouseOnly?7760683703619
frameNo: 14 | Accumulated: 0MouseOnly?7760683714347
frameNo: 14 | Accumulated: 0MouseOnly?7760683730501
frameNo: 14 | Accumulated: 0MouseOnly?7760683758199
frameNo: 14 | Accumulated: 0MouseOnly?7760683765760
frameNo: 14 | Accumulated: 0MouseOnly?7760683785521
frameNo: 14 | Accumulated: 0MouseOnly?7760683812759
frameNo: 14 | Accumulated: 1 | PTS: 7760683824309 | PTSInterval: 165140000
frameNo: 15 | Accumulated: 0MouseOnly?7760683839659
frameNo: 15 | Accumulated: 0MouseOnly?7760683866998
frameNo: 15 | Accumulated: 1 | PTS: 7760683880745 | PTSInterval: 16550000
frameNo: 16 | Accumulated: 0MouseOnly?7760683894585
frameNo: 16 | Accumulated: 0MouseOnly?7760683921499
frameNo: 16 | Accumulated: 0MouseOnly?7760684085312
frameNo: 16 | Accumulated: 0MouseOnly?7760684112708
frameNo: 16 | Accumulated: 0MouseOnly?7760684139574
frameNo: 16 | Accumulated: 0MouseOnly?7760684143813
frameNo: 16 | Accumulated: 0MouseOnly?7760684166794
frameNo: 16 | Accumulated: 0MouseOnly?7760684194062
frameNo: 16 | Accumulated: 0MouseOnly?7760684221421
frameNo: 16 | Accumulated: 0MouseOnly?7760684248668
frameNo: 16 | Accumulated: 0MouseOnly?7760684253368
frameNo: 16 | Accumulated: 0MouseOnly?7760684276072
frameNo: 16 | Accumulated: 0MouseOnly?7760684303779
frameNo: 16 | Accumulated: 0MouseOnly?7760684331615
frameNo: 16 | Accumulated: 0MouseOnly?7760684358700
frameNo: 16 | Accumulated: 0MouseOnly?7760684386493
frameNo: 16 | Accumulated: 0MouseOnly?7760684389976
frameNo: 16 | Accumulated: 0MouseOnly?7760684413528
frameNo: 16 | Accumulated: 0MouseOnly?7760684447674
frameNo: 16 | Accumulated: 0MouseOnly?7760684468280
frameNo: 16 | Accumulated: 0MouseOnly?7760684498225
frameNo: 16 | Accumulated: 0MouseOnly?7760684524796
frameNo: 16 | Accumulated: 0MouseOnly?7760684579586
frameNo: 16 | Accumulated: 0MouseOnly?7760684606337
frameNo: 16 | Accumulated: 1 | PTS: 7760684622333 | PTSInterval: 217469000
